run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,AER LINGUS,D,S,1,0,7,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,100,93.137255,4.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,D,S,23,0,1,4.166667,75.0,8.333333,0.0,4.166667,4.166667,0.0,0.0,0.0,0.0,4.166667,7.0,0,0.0,
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,EMERALD AIRLINES UK LTD,D,S,105,0,2,7.476636,49.53271,22.429907,6.542056,7.476636,3.738318,0.934579,0.0,0.0,0.0,1.869159,10.0,4,75.0,8.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,NEWCASTLE,EMERALD AIRLINES UK LTD,D,S,24,0,0,0.0,58.333333,16.666667,8.333333,8.333333,4.166667,0.0,4.166667,0.0,0.0,0.0,19.0,0,0.0,
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,NEWQUAY,EMERALD AIRLINES UK LTD,D,S,4,0,0,0.0,75.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0.0,
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,SOUTHAMPTON,EMERALD AIRLINES UK LTD,D,S,54,0,2,0.0,53.571429,28.571429,8.928571,3.571429,1.785714,0.0,0.0,0.0,0.0,3.571429,7.0,40,95.0,2.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),GERMANY,FRANKFURT MAIN,LUFTHANSA,D,S,13,0,0,0.0,38.461538,30.769231,15.384615,7.692308,7.692308,0.0,0.0,0.0,0.0,0.0,13.0,0,0.0,
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),ITALY,VERONA VILLAFRANCA,AER LINGUS,D,C,4,0,0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4,50.0,13.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),NETHERLANDS,AMSTERDAM,KLM,D,S,23,0,4,0.0,22.222222,29.62963,14.814815,7.407407,11.111111,0.0,0.0,0.0,0.0,14.814815,21.0,22,72.727273,9.0
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,BULGARIA,PLOVDIV,JET2.COM LTD,D,S,4,0,0,0.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,BULGARIA,SOFIA,JET2.COM LTD,D,S,4,0,0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,HUNGARY,BUDAPEST,RYANAIR,D,S,5,0,0,0.0,0.0,20.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,39.0,0,0.0,
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,HUNGARY,BUDAPEST,RYANAIR UK LTD,D,S,4,0,0,0.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,POLAND,GDANSK,RYANAIR,D,S,8,0,0,0.0,25.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,41.0,0,0.0,
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,POLAND,KRAKOW,RYANAIR,D,S,9,0,0,0.0,0.0,11.111111,33.333333,22.222222,33.333333,0.0,0.0,0.0,0.0,0.0,45.0,0,0.0,
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,EGYPT,HURGHADA,EASYJET UK LTD,D,S,9,0,0,0.0,55.555556,22.222222,11.111111,11.111111,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,UNITED KINGDOM,BIRMINGHAM,EASYJET UK LTD,D,S,95,0,1,0.0,67.708333,19.791667,3.125,5.208333,2.083333,1.041667,0.0,0.0,0.0,1.041667,8.0,105,93.333333,3.0
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,UNITED KINGDOM,BRISTOL,EASYJET UK LTD,D,S,47,0,1,2.083333,45.833333,35.416667,6.25,4.166667,4.166667,0.0,0.0,0.0,0.0,2.083333,9.0,57,82.45614,13.0
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,RYANAIR UK LTD,D,S,17,0,0,0.0,88.235294,5.882353,0.0,0.0,5.882353,0.0,0.0,0.0,0.0,0.0,6.0,0,0.0,
14/03/2024 13:44,202401,BELFAST INTERNATIONAL,UNITED KINGDOM,EDINBURGH,EASYJET UK LTD,D,S,108,0,1,0.0,50.458716,23.853211,10.091743,10.091743,3.669725,0.917431,0.0,0.0,0.0,0.917431,12.0,93,83.870968,7.0
